Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Segmentation Found (display check),Classification Time (s),Below 2 Seconds
032_1_0002_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,True,0.14553607600100804,True
033_1_0001.png,33,Watch for Traffic signals,33,Watch for Traffic signals,True,True,0.13863539900012256,True
034_1_0002.png,34,Danger Ahead,34,Danger Ahead,True,True,0.14639356400039105,True
034_1_0003_1_j.png,34,Danger Ahead,34,Danger Ahead,True,True,0.13618643100016925,True
035_1_0002.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,True,0.15243744800136483,True
035_1_0003.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,True,0.14800163099971542,True
035_1_0004.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,True,0.15584739400037506,True
037_1_0009.png,37,Watch for Children crossing,37,Watch for Children crossing,True,True,0.1457107989990618,True
043_1_0021.png,43,Go right or straight,43,Go right or straight,True,True,0.14116867399934563,True
045_1_0004.png,45,Near the village,45,Near the village,True,True,0.1479829489999247,True
045_1_0009.png,45,Near the village,45,Near the village,True,True,0.1450387140012026,True
047_1_0003.png,47,Watch for Trains,47,Watch for Trains,True,True,0.14649701999951503,True
049_1_0010.png,49,Watch for consecutive turnings,49,Watch for consecutive turnings,True,True,0.1433404609997524,True
050_1_0003.png,50,Watch for fences,50,Watch for fences,True,True,0.14823312100088515,True
055_1_0031.png,55,No entry,55,No entry,True,True,0.15094867100015108,True
056_1_0010.png,56,Slow down to yield,56,Slow down to yield,True,True,0.14930395200099156,True
008_1_0008_1_j.png,8,Don't Go straight or left,8,Don't Go straight or left,True,True,0.1542052689983393,True
023_1_0002_1_j.png,23,Go Left or right,23,Go Left or right,True,True,0.15774407800017798,True
030_1_0018_1_j.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,True,0.15697243899921887,True
052_1_0008_1_j.png,52,Stop to yield,52,Stop to yield,True,True,0.15386726399992767,True
010_1_0013.png,10,Don't Go straight,10,Don't Go straight,True,True,0.14454563099934603,True
011_1_0019.png,11,Don't Go Left,11,Don't Go Left,True,True,0.14718940500097233,True
023_1_0005.png,23,Go Left or right,23,Go Left or right,True,True,0.1486808680001559,True
028_1_0216.png,28,watch out for cars,28,watch out for cars,True,True,0.1524450020006043,True
029_1_0015.png,29,Horn,29,Horn,True,True,0.14903282299928833,True
031_1_0020.png,31,Uturn allowed,31,Uturn allowed,True,True,0.15269025199995667,True
036_1_0014.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,True,0.14876631399965845,True
036_1_0016.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,True,0.14470773399989412,True
036_1_0019.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,True,0.14476306500000646,True
