Trial,Image No.,Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Status,Error,HOG Matches Saved Features,Within 2 Seconds,Image Loading Time (s),ROI Segmentation Time (s),HOG Extraction Time (s),Feature Scaling Time (s),LR Prediction Time (s),End-to-End Time (s)
1,13,046_0005_j.png,46,Watch for ZigZag Curve,46,Watch for ZigZag Curve,True,Success,,True,True,0.002017799997702241,0.013056099996902049,0.0055235000036191195,0.000830999983008951,0.001208700006827712,0.022637099988060072
1,14,047_0002.png,47,Watch for Trains,47,Watch for Trains,True,Success,,True,True,0.0017739000031724572,0.008069999981671572,0.004860200016992167,0.0006950999959371984,0.0013938999909441918,0.016793099988717586
1,15,047_0005.png,47,Watch for Trains,47,Watch for Trains,True,Success,,True,True,0.004138499993132427,0.03613600000971928,0.005953999992925674,0.0008531000057701021,0.0019147999992128462,0.04899640000076033
1,16,020_0002_j.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0020062999974470586,0.014402400003746152,0.004813900013687089,0.0009329000022262335,0.0013983999961055815,0.023553900013212115
1,17,021_0004_j.png,21,Go straight,21,Go straight,True,Success,,True,True,0.002202000003308058,0.017655800009379163,0.003920999995898455,0.000679599994327873,0.0012152999988757074,0.025673700001789257
1,18,042_0016_j.png,42,Slow down,42,Slow down,True,Success,,True,True,0.00198090000776574,0.010041899979114532,0.003540900012012571,0.0006505000055767596,0.0011644999904092401,0.017378699994878843
1,19,051_0005_j.png,51,Watch for Heavy Vehicle Accidents,51,Watch for Heavy Vehicle Accidents,True,Success,,True,True,0.0010565999837126583,0.005147400021087378,0.0029357000021263957,0.0004317999992053956,0.0010163999977521598,0.010587900003883988
1,20,057_0003_j.png,57,Stop for check,57,Stop for check,True,Success,,True,True,0.0019558999920263886,0.008152499998686835,0.0029079999949317425,0.0006444000173360109,0.0012277000059839338,0.014888500008964911
1,21,011_0029.png,11,Don't Go Left,11,Don't Go Left,True,Success,,True,True,0.0010038000182248652,0.003277699986938387,0.0037773000076413155,0.00066230000811629,0.0011955999943893403,0.009916700015310198
1,22,013_0013.png,13,Don't Go Right,13,Don't Go Right,True,Success,,True,True,0.0015094999980647117,0.005547799984924495,0.0040151000139303505,0.0006388000037986785,0.0012354000064078718,0.012946600007126108
1,23,021_0004.png,21,Go straight,21,Go straight,True,Success,,True,True,0.0018413000216241926,0.007433299993863329,0.004214799992041662,0.0007001000049058348,0.0012967000075150281,0.015486200019950047
1,24,022_0005.png,22,Go Left,22,Go Left,True,Success,,True,True,0.002058499987469986,0.008056000020587817,0.003117099986411631,0.0006303999980445951,0.001261600002180785,0.015123599994694814
1,25,027_0010.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0014445999986492097,0.009738199994899333,0.005211899988353252,0.0006615000020246953,0.00142680000863038,0.01848299999255687
1,26,027_0012.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0015501999878324568,0.0067792000190820545,0.005731899989768863,0.0007560999947600067,0.0019966000108979642,0.016814000002341345
1,27,028_0202.png,28,watch out for cars,28,watch out for cars,True,Success,,True,True,0.0020001000084448606,0.009513900004094467,0.005414599989308044,0.0008074000070337206,0.0015921999874990433,0.019328199996380135
1,28,037_0019.png,37,Watch for Children crossing,37,Watch for Children crossing,True,Success,,True,True,0.0018699999782256782,0.009106900019105524,0.005414599989308044,0.0010244000004604459,0.00184760001138784,0.019263499998487532
1,29,037_0021.png,37,Watch for Children crossing,37,Watch for Children crossing,True,Success,,True,True,0.0012864000163972378,0.007402499992167577,0.005390800011809915,0.0010745000035967678,0.001221099984832108,0.016375300008803606
1,30,040_0011.png,40,Watch for down steep slope,40,Watch for down steep slope,True,Success,,True,True,0.0015301000094041228,0.014374799997312948,0.005415699997683987,0.0009671000007074326,0.0014986000023782253,0.023786300007486716
1,31,048_0004.png,48,Watch for Construction site,48,Watch for Construction site,True,Success,,True,True,0.002770899998722598,0.01731110000400804,0.0038634999946225435,0.0006719999946653843,0.0009840999846346676,0.025601599976653233
1,32,000_1_0002.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0014968999894335866,0.011845700006233528,0.004375399992568418,0.0004788000078406185,0.0009401999996043742,0.019136999995680526
1,33,000_1_0013.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0012288999860174954,0.008624000009149313,0.0035899000067729503,0.0004518000059761107,0.001055899978382513,0.014950499986298382
1,34,000_1_0018.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.001962499984074384,0.012877400004072115,0.004087900015292689,0.0005948999896645546,0.001327400008449331,0.020850100001553074
1,35,000_1_0034.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0009185000089928508,0.004044399975100532,0.003984500013757497,0.0007336999988183379,0.0010802999895531684,0.010761399986222386
1,36,001_1_0009.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,Success,,True,True,0.0017551000055391341,0.010234299988951534,0.003906800004187971,0.0006131000118330121,0.000914999982342124,0.017424299992853776
1,37,002_1_0010.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,Success,,True,True,0.0007966999837663025,0.004926800000248477,0.003154800011543557,0.0006273000035434961,0.0011240000021643937,0.010629600001266226
1,38,003_1_0034.png,3,Speed limit fourty kilometers per hour,3,Speed limit fourty kilometers per hour,True,Success,,True,True,0.0011121999996248633,0.002720000018598512,0.0036548000061884522,0.0005687999946530908,0.000994000001810491,0.00904980002087541
1,39,004_1_0020.png,4,Speed limit fifty kilometers per hour,4,Speed limit fifty kilometers per hour,True,Success,,True,True,0.0008111000061035156,0.0038898999919183552,0.00397670001257211,0.0006275000050663948,0.001069399993866682,0.010374600009527057
1,40,005_1_0027.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,Success,,True,True,0.0014484999992419034,0.014184600004227832,0.004407899978104979,0.0006825000164099038,0.001426200004061684,0.022149700002046302
1,41,007_1_0006.png,7,Speed limit eighty kilometers per hour,7,Speed limit eighty kilometers per hour,True,Success,,True,True,0.0013113000022713095,0.011783900001319125,0.005727600015234202,0.0006676999910268933,0.001355199987301603,0.020845699997153133
1,42,012_1_0015.png,12,Don't Go Left or Right,12,Don't Go Left or Right,True,Success,,True,True,0.0014814999885857105,0.007303000020328909,0.004512499988777563,0.0010097000049427152,0.001495700009400025,0.015802400012034923
1,43,014_1_0028.png,14,Don't overtake from Left,14,Don't overtake from Left,True,Success,,True,True,0.0017207999771926552,0.008229700004449114,0.004993600014131516,0.0008755000017117709,0.0011987999896518886,0.017018399987136945
1,44,015_1_0001.png,15,No U-turn,15,No U-turn,True,Success,,True,True,0.001924200012581423,0.013584500004071742,0.005675099993823096,0.0007621999830007553,0.0012308000004850328,0.02317679999396205
1,45,016_1_0014.png,16,No Car,16,No Car,True,Success,,True,True,0.0015536999853793532,0.010499900003196672,0.005093700019642711,0.0011031999893020838,0.0013565999979618937,0.019607099995482713
1,46,017_1_0017.png,17,No horn,17,No horn,True,Success,,True,True,0.0015559000021312386,0.011624900012975559,0.0046421999868471175,0.0012447000190149993,0.0013670999906025827,0.020434800011571497
1,47,023_1_0003.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.0010114999895449728,0.005953700019745156,0.003060699993511662,0.0005524000152945518,0.001760699989972636,0.012339000008068979
1,48,023_1_0004.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.001060100010363385,0.005253299983451143,0.004247300006682053,0.0007367999933194369,0.0010956000187434256,0.012393100012559444
1,49,024_1_0016.png,24,Go Right,24,Go Right,True,Success,,True,True,0.0043883000034838915,0.025561199989169836,0.0039898999966681,0.0006131000118330121,0.0012373999925330281,0.03578989999368787
1,50,024_1_0017.png,24,Go Right,24,Go Right,True,Success,,True,True,0.004060900013428181,0.02596090000588447,0.004456299997400492,0.0006010999786667526,0.0012784000136889517,0.03635760000906885
1,51,026_1_0016.png,26,keep Right,26,keep Right,True,Success,,True,True,0.0020087999873794615,0.008619200001703575,0.0038053999887779355,0.0006305000279098749,0.0012740999809466302,0.016337999986717477
1,52,028_1_0007.png,28,watch out for cars,28,watch out for cars,True,Success,,True,True,0.002372899994952604,0.016020999988541007,0.005577800009632483,0.0007803000044077635,0.0013518999912776053,0.026103899988811463
1,53,030_1_0002.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,Success,,True,True,0.004495300003327429,0.026716799999121577,0.006230400002095848,0.0005663000047206879,0.001358899986371398,0.03936769999563694
1,54,030_1_0023.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,Success,,True,True,0.0017297999875154346,0.007766900002025068,0.0054290000116452575,0.001060499984305352,0.001662199996644631,0.017648399982135743
1,55,032_1_0001_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,Success,,True,True,0.0030196000006981194,0.015874400007305667,0.005721800000173971,0.0008362999942619354,0.0013595000200439245,0.026811600022483617
1,56,032_1_0002_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,Success,,True,True,0.002505799988284707,0.017236000014236197,0.004895799997029826,0.0007895999879110605,0.0014597999979741871,0.026886999985435978
1,57,033_1_0001.png,33,Watch for Traffic signals,33,Watch for Traffic signals,True,Success,,True,True,0.0018734000041149557,0.009241799998562783,0.007266200002050027,0.0005839999939780682,0.0009734999912325293,0.019938899989938363
1,58,034_1_0002.png,34,Danger Ahead,34,Danger Ahead,True,Success,,True,True,0.0010000999900512397,0.004038300015963614,0.003964200004702434,0.000624299980700016,0.0012889000063296407,0.010915799997746944
1,59,034_1_0003_1_j.png,34,Danger Ahead,34,Danger Ahead,True,Success,,True,True,0.0016951999859884381,0.007055900001432747,0.003931799990823492,0.0005950000195298344,0.0012506000057328492,0.01452850000350736
1,60,035_1_0002.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,Success,,True,True,0.0013577000063378364,0.008530099992640316,0.0030152000254020095,0.0004923999949824065,0.0009238999919034541,0.014319300011266023
1,61,035_1_0003.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,Success,,True,True,0.0014608000055886805,0.005333899985998869,0.004174000001512468,0.0006742000114172697,0.001268099993467331,0.012910999997984618
1,62,035_1_0004.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,Success,,True,True,0.002096899988828227,0.007711100013693795,0.003991600009612739,0.0006799999973736703,0.001150299998698756,0.015629900008207187
1,63,037_1_0009.png,37,Watch for Children crossing,37,Watch for Children crossing,True,Success,,True,True,0.001951399986864999,0.01175500001409091,0.0031307000026572496,0.000612599978921935,0.0009189000120386481,0.018368599994573742
1,64,043_1_0021.png,43,Go right or straight,43,Go right or straight,True,Success,,True,True,0.0026144000003114343,0.013362400000914931,0.0036047000030521303,0.0005740999768022448,0.0009723000111989677,0.02112789999227971
1,65,045_1_0004.png,45,Near the village,45,Near the village,True,Success,,True,True,0.0013982999953441322,0.009537300007650629,0.003439399995841086,0.0006550999823957682,0.0012258000206202269,0.016255900001851842
1,66,045_1_0009.png,45,Near the village,45,Near the village,True,Success,,True,True,0.0014936999941710383,0.012615200015716255,0.004686500004027039,0.0009020999714266509,0.0012567000230774283,0.02095420000841841
1,67,047_1_0003.png,47,Watch for Trains,47,Watch for Trains,True,Success,,True,True,0.0011608999921008945,0.006184099998790771,0.004222199990181252,0.0005476000078488141,0.0010118999925907701,0.013126699981512502
1,68,049_1_0010.png,49,Watch for consecutive turnings,49,Watch for consecutive turnings,True,Success,,True,True,0.0015487000055145472,0.008217700000386685,0.005562200007261708,0.0009267000132240355,0.0012003999727312475,0.017455699999118224
1,69,050_1_0003.png,50,Watch for fences,50,Watch for fences,True,Success,,True,True,0.003519999998388812,0.03322209999896586,0.005751400021836162,0.0008525000012014061,0.0016202999977394938,0.04496630001813173
1,70,055_1_0031.png,55,No entry,55,No entry,True,Success,,True,True,0.002444100013235584,0.012264499993762001,0.005562299978919327,0.0007144000264815986,0.0017783999792300165,0.022763699991628528
1,71,056_1_0010.png,56,Slow down to yield,56,Slow down to yield,True,Success,,True,True,0.0029715000127907842,0.01778540000668727,0.0041763999906834215,0.00041390000842511654,0.0010028999822679907,0.02635010000085458
1,72,008_1_0008_1_j.png,8,Don't Go straight or left,8,Don't Go straight or left,True,Success,,True,True,0.0018395999795757234,0.007280400022864342,0.003984199982369319,0.0006407000182662159,0.0011543000000528991,0.014899200003128499
1,73,023_1_0002_1_j.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.0021166999940760434,0.010851500002900138,0.003298499999800697,0.0005845999985467643,0.001107400021282956,0.0179587000166066
1,74,030_1_0018_1_j.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,Success,,True,True,0.0021206999954301864,0.011379200004739687,0.004433499998413026,0.0006064999906811863,0.0011801999935414642,0.01972009998280555
1,75,052_1_0008_1_j.png,52,Stop to yield,52,Stop to yield,True,Success,,True,True,0.0025616000057198107,0.014286899997387081,0.004849899996770546,0.0009394999942742288,0.0015552999975625426,0.02419319999171421
1,76,010_1_0013.png,10,Don't Go straight,10,Don't Go straight,True,Success,,True,True,0.0015536000137217343,0.008501900010742247,0.0054601999872829765,0.0007762000022921711,0.0013134999899193645,0.017605400003958493
1,77,011_1_0019.png,11,Don't Go Left,11,Don't Go Left,True,Success,,True,True,0.0036198000016156584,0.018932999984826893,0.005871400004252791,0.0008221000025514513,0.0011943000135943294,0.030440600006841123
1,78,023_1_0005.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.0024341999960597605,0.014778900018427521,0.00597969998489134,0.0007134000188671052,0.0017462999967392534,0.02565250001498498
1,79,028_1_0216.png,28,watch out for cars,28,watch out for cars,True,Success,,True,True,0.0032374000002164394,0.018590099993161857,0.0056770999799482524,0.0008318000182043761,0.001362899987725541,0.029699299979256466
1,80,029_1_0015.png,29,Horn,29,Horn,True,Success,,True,True,0.0025498000031802803,0.01111210000817664,0.004353900003479794,0.0006199000054039061,0.0012987999944016337,0.019934500014642254
1,81,031_1_0020.png,31,Uturn allowed,31,Uturn allowed,True,Success,,True,True,0.005157400009920821,0.02948399999877438,0.004500699986238033,0.0005859000084456056,0.0010448000102769583,0.0407728000136558
1,82,036_1_0014.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,Success,,True,True,0.00232910001068376,0.015557200007606298,0.0041602999845054,0.0006296999927144498,0.0011578999983612448,0.023834199993871152
1,83,036_1_0016.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,Success,,True,True,0.0011654999980237335,0.00912090000929311,0.004032299999380484,0.0006280000088736415,0.0011177999840583652,0.016064499999629334
1,84,036_1_0019.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,Success,,True,True,0.0008410000009462237,0.004643099993700162,0.004084099986357614,0.0006779000104870647,0.0011673000117298216,0.011413400003220886
2,1,001_0004.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,Success,,True,True,0.0010399000020697713,0.0035022000083699822,0.0036504999734461308,0.0005905000143684447,0.0014426000125240535,0.010225700010778382
2,2,002_0036.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,Success,,True,True,0.0031651000026613474,0.017887699999846518,0.005017299990868196,0.0004780000017490238,0.0011989000195171684,0.027747000014642254
2,3,005_0030.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,Success,,True,True,0.0014764999796170741,0.013767600001301616,0.005423599999630824,0.0011562000145204365,0.0015415000088978559,0.023365400003967807
2,4,020_0003.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.002453699999023229,0.02037230000132695,0.005873899994185194,0.0008172999951057136,0.0011978000111412257,0.03071500000078231
2,5,020_0004.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0019343000021763146,0.013499399996362627,0.005029199994169176,0.0008632999961264431,0.0013214000209700316,0.02264760000980459
2,6,020_0006.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0046424999891314656,0.036541700013913214,0.00666579999960959,0.0006575000006705523,0.0013877000019419938,0.049895200005266815
2,7,021_0003.png,21,Go straight,21,Go straight,True,Success,,True,True,0.001800600002752617,0.008119000005535781,0.003978599997935817,0.0006527999939862639,0.0012391000054776669,0.015790100005688146
2,8,021_0002_j.png,21,Go straight,21,Go straight,True,Success,,True,True,0.0016228999884333462,0.010139499994693324,0.0043126000091433525,0.0006556999869644642,0.0012190999987069517,0.01794979997794144
2,9,027_0002.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0021804000134579837,0.011708899983204901,0.003972300008172169,0.000597700010985136,0.0012123999767936766,0.019671699992613867
2,10,031_0011.png,31,Uturn allowed,31,Uturn allowed,True,Success,,True,True,0.0018007000035140663,0.008162899990566075,0.004103899991605431,0.0006216000183485448,0.0011178999848198146,0.01580699998885393
2,11,038_0008.png,38,Dangerous curve to the left,38,Dangerous curve to the left,True,Success,,True,True,0.002458699978888035,0.01297010001144372,0.003973899991251528,0.0006692000024486333,0.0011691999970935285,0.021241099981125444
2,12,042_0002_j.png,42,Slow down,42,Slow down,True,Success,,True,True,0.002150600019376725,0.010673099983250722,0.003755999990971759,0.0006707000138703734,0.001217399985762313,0.018467799993231893
2,13,046_0005_j.png,46,Watch for ZigZag Curve,46,Watch for ZigZag Curve,True,Success,,True,True,0.0017706999788060784,0.010573800012934953,0.005780399980721995,0.0008724000072106719,0.001282500015804544,0.020279799995478243
2,14,047_0002.png,47,Watch for Trains,47,Watch for Trains,True,Success,,True,True,0.0017222000169567764,0.00900819999515079,0.0053743000025860965,0.0008560999995097518,0.0016017000016290694,0.018562500015832484
2,15,047_0005.png,47,Watch for Trains,47,Watch for Trains,True,Success,,True,True,0.004973900009645149,0.037944599986076355,0.005257900018477812,0.001170099974842742,0.001248600019607693,0.05059510000864975
2,16,020_0002_j.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0013204999850131571,0.014334900013636798,0.005236299999523908,0.0008385000110138208,0.0012054999824613333,0.022935699991649017
2,17,021_0004_j.png,21,Go straight,21,Go straight,True,Success,,True,True,0.002684100007172674,0.02036470000166446,0.003622799995355308,0.0006495999987237155,0.0012577000015880913,0.02857890000450425
2,18,042_0016_j.png,42,Slow down,42,Slow down,True,Success,,True,True,0.001822199992602691,0.009752699988894165,0.003232300019590184,0.0004243000003043562,0.0010232999920845032,0.0162547999934759
2,19,051_0005_j.png,51,Watch for Heavy Vehicle Accidents,51,Watch for Heavy Vehicle Accidents,True,Success,,True,True,0.0014227999781724066,0.005922300013480708,0.0036087000044062734,0.0006373999931383878,0.0012009000056423247,0.0127920999948401
2,20,057_0003_j.png,57,Stop for check,57,Stop for check,True,Success,,True,True,0.0019992000015918165,0.007643699995242059,0.003758700011530891,0.0006559999892488122,0.001111799996579066,0.015169399994192645
2,21,011_0029.png,11,Don't Go Left,11,Don't Go Left,True,Success,,True,True,0.0009612000139895827,0.003829799999948591,0.004154999973252416,0.0005567000189330429,0.0011380999931134284,0.01064079999923706
2,22,013_0013.png,13,Don't Go Right,13,Don't Go Right,True,Success,,True,True,0.0014435999910347164,0.0049189999990630895,0.004213300009723753,0.0005982999864500016,0.0011397000052966177,0.012313899991568178
2,23,021_0004.png,21,Go straight,21,Go straight,True,Success,,True,True,0.00179720000596717,0.006553000013809651,0.00410399999236688,0.0007093999884091318,0.0012544000055640936,0.014418000006116927
2,24,022_0005.png,22,Go Left,22,Go Left,True,Success,,True,True,0.0019272000063210726,0.007028599997283891,0.004074900003615767,0.000670300010824576,0.0012789999891538173,0.014980000007199124
2,25,027_0010.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0014096999948378652,0.01315210000029765,0.0029569999896921217,0.0005838999932166189,0.0011681000178214163,0.019270799995865673
2,26,027_0012.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0016414000128861517,0.007465999980922788,0.005739300017012283,0.0008498999814037234,0.0011483000125735998,0.016844900004798546
2,27,028_0202.png,28,watch out for cars,28,watch out for cars,True,Success,,True,True,0.001052100007655099,0.009177799976896495,0.005959900008747354,0.0008627999923191965,0.0010745000035967678,0.018127099989214912
2,28,037_0019.png,37,Watch for Children crossing,37,Watch for Children crossing,True,Success,,True,True,0.0018694000027608126,0.00948070001322776,0.005255800002487376,0.0006898999854456633,0.001771000010194257,0.01906680001411587
2,29,037_0021.png,37,Watch for Children crossing,37,Watch for Children crossing,True,Success,,True,True,0.0018545000057201833,0.006458599993493408,0.005248500005109236,0.0008139999990817159,0.0016083999944385141,0.015983999997843057
2,30,040_0011.png,40,Watch for down steep slope,40,Watch for down steep slope,True,Success,,True,True,0.0026706000207923353,0.015001499996287748,0.005466400005389005,0.0007803999760653824,0.0012620000052265823,0.025180900003761053
2,31,048_0004.png,48,Watch for Construction site,48,Watch for Construction site,True,Success,,True,True,0.0020736000151373446,0.022364300006302074,0.005976199987344444,0.0006485999911092222,0.0010423000203445554,0.03210500002023764
2,32,000_1_0002.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0015331000031437725,0.013179999979911372,0.003851500019663945,0.0006226999976206571,0.0011992999934591353,0.020386599993798882
2,33,000_1_0013.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0023523000127170235,0.01179069999489002,0.004228100006002933,0.0007150000019464642,0.0011974999797530472,0.020283599995309487
2,34,000_1_0018.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0029744000057689846,0.01538510000682436,0.004349700000602752,0.0006036999984644353,0.0012341999972704798,0.02454710000893101
2,35,000_1_0034.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,Success,,True,True,0.0009601999772712588,0.0033042000140994787,0.0024842999991960824,0.00040270001045428216,0.00106229999801144,0.008213699999032542
2,36,001_1_0009.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,Success,,True,True,0.0017835999897215515,0.010579200024949387,0.0041179999825544655,0.0006857000116724521,0.0012889000063296407,0.018455400015227497
2,37,002_1_0010.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,Success,,True,True,0.0008397999918088317,0.004968699999153614,0.004113600007258356,0.0006655000033788383,0.0012347999727353454,0.011822399974334985
2,38,003_1_0034.png,3,Speed limit fourty kilometers per hour,3,Speed limit fourty kilometers per hour,True,Success,,True,True,0.001052799983881414,0.003351000021211803,0.0041071999876294285,0.0006156000017654151,0.001143500005127862,0.010270099999615923
2,39,004_1_0020.png,4,Speed limit fifty kilometers per hour,4,Speed limit fifty kilometers per hour,True,Success,,True,True,0.0011036000214517117,0.004541499976767227,0.005004300008295104,0.0008285999938379973,0.0013801000022795051,0.012858100002631545
2,40,005_1_0027.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,Success,,True,True,0.002527399978134781,0.01725490001263097,0.005767299997387454,0.0004692999937105924,0.001191100018331781,0.027210000000195578
2,41,007_1_0006.png,7,Speed limit eighty kilometers per hour,7,Speed limit eighty kilometers per hour,True,Success,,True,True,0.0017736000008881092,0.012303499999688938,0.00599020000663586,0.0006417999975383282,0.00184009998338297,0.022549199988134205
2,42,012_1_0015.png,12,Don't Go Left or Right,12,Don't Go Left or Right,True,Success,,True,True,0.001476600009482354,0.0076135999988764524,0.005930399987846613,0.0006235000037122518,0.001348999998299405,0.016993099998217076
2,43,014_1_0028.png,14,Don't overtake from Left,14,Don't overtake from Left,True,Success,,True,True,0.001517600001534447,0.007929299987154081,0.005423700000392273,0.0012054000108037144,0.0013147999998182058,0.017390799999702722
2,44,015_1_0001.png,15,No U-turn,15,No U-turn,True,Success,,True,True,0.0018096999847330153,0.009404900018125772,0.003955099993618205,0.0006061999883968383,0.0008734000148251653,0.016649299999698997
2,45,016_1_0014.png,16,No Car,16,No Car,True,Success,,True,True,0.0012589000107254833,0.009601799974916503,0.005840800004079938,0.0005218000151216984,0.0010584999981801957,0.018281800003023818
2,46,017_1_0017.png,17,No horn,17,No horn,True,Success,,True,True,0.0014928999880794436,0.009620600001653656,0.003537899989169091,0.0004185000143479556,0.001080499991076067,0.016150399984326214
2,47,023_1_0003.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.0010161999962292612,0.005485200003022328,0.004500900016864762,0.0007126999844331294,0.0011673000117298216,0.012882300012279302
2,48,023_1_0004.png,23,Go Left or right,23,Go Left or right,True,Success,,True,True,0.000980499986326322,0.0053604000131599605,0.003873100009514019,0.0006175999878905714,0.001178800011985004,0.012010400008875877
2,49,024_1_0016.png,24,Go Right,24,Go Right,True,Success,,True,True,0.0043052000110037625,0.02598419997957535,0.00466700000106357,0.0006950000242795795,0.0010606999858282506,0.036712100001750514
2,50,024_1_0017.png,24,Go Right,24,Go Right,True,Success,,True,True,0.004043799999635667,0.024871300003724173,0.004065799992531538,0.0005028999876230955,0.0009143000061158091,0.03439809998963028
