Image No.,Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Image Loading Mean Time (s),Image Loading Max Time (s),ROI Segmentation Mean Time (s),ROI Segmentation Max Time (s),HOG Extraction Mean Time (s),HOG Extraction Max Time (s),Feature Scaling Mean Time (s),Feature Scaling Max Time (s),LR Prediction Mean Time (s),LR Prediction Max Time (s),End-to-End Mean Time (s),End-to-End Max Time (s),Successful_Runs,All_Runs_Within_2_Seconds,HOG_Matched_Every_Run
12,042_0002_j.png,42,Slow down,42,Slow down,True,0.001917366685423379,0.002150600019376725,0.010884933319175616,0.013523299974622205,0.0045494999988780664,0.00546710001071915,0.0008249333380566289,0.0010350999946240336,0.0014267666556406766,0.0017074999923352152,0.019603499997174367,0.023013099998934194,3,True,True
13,046_0005_j.png,46,Watch for ZigZag Curve,46,Watch for ZigZag Curve,True,0.0019282999855931848,0.002017799997702241,0.012149033340392634,0.013056099996902049,0.0055998333264142275,0.005780399980721995,0.0007981666616008928,0.0008724000072106719,0.001283466680130611,0.0013592000177595764,0.02175879999413155,0.022637099988060072,3,True,True
14,047_0002.png,47,Watch for Trains,47,Watch for Trains,True,0.0016370333420733612,0.0017739000031724572,0.00853936665225774,0.00900819999515079,0.005256933344450469,0.005536300013773143,0.0008457666651035348,0.0009860999998636544,0.0014210999943315983,0.0016017000016290694,0.017700199998216704,0.018562500015832484,3,True,True
15,047_0005.png,47,Watch for Trains,47,Watch for Trains,True,0.0046365666688264655,0.004973900009645149,0.03544190000199402,0.037944599986076355,0.005181833335276072,0.005953999992925674,0.0008980333223007619,0.001170099974842742,0.0014638333426167567,0.0019147999992128462,0.04762216667101408,0.05059510000864975,3,True,True
16,020_0002_j.png,20,Go straight or right,20,Go straight or right,True,0.0016434333325984578,0.0020062999974470586,0.013464700003775457,0.014402400003746152,0.004585433334189777,0.005236299999523908,0.0007957000052556396,0.0009329000022262335,0.0012984666585301359,0.0013983999961055815,0.02178773333434947,0.023553900013212115,3,True,True
17,021_0004_j.png,21,Go straight,21,Go straight,True,0.002435066669325655,0.002684100007172674,0.018097800008642178,0.02036470000166446,0.003871299995807931,0.004070099996170029,0.0006520999983573953,0.000679599994327873,0.0012203333317302167,0.0012577000015880913,0.026276600003863376,0.02857890000450425,3,True,True
18,042_0016_j.png,42,Slow down,42,Slow down,True,0.0018949333267907302,0.00198090000776574,0.009838566659406448,0.010041899979114532,0.003629733342677355,0.004115999996429309,0.0005666000070050359,0.0006505000055767596,0.0011644333232349406,0.0013054999872110784,0.01709426665911451,0.017649299988988787,3,True,True
19,051_0005_j.png,51,Watch for Heavy Vehicle Accidents,51,Watch for Heavy Vehicle Accidents,True,0.0012842666474170983,0.0014227999781724066,0.005201533349463716,0.005922300013480708,0.003516433333667616,0.004004899994470179,0.0005672333257583281,0.0006373999931383878,0.0011433333371921133,0.001212700008181855,0.011712799993498871,0.0127920999948401,3,True,True
20,057_0003_j.png,57,Stop for check,57,Stop for check,True,0.001973866659682244,0.0019992000015918165,0.008024366669512043,0.008276900014607236,0.003784133334799359,0.004685699997935444,0.0006559666653629392,0.0006674999895039946,0.0012248666704787563,0.001335100008873269,0.015663199999835342,0.01693169999634847,3,True,True
21,011_0029.png,11,Don't Go Left,11,Don't Go Left,True,0.000989500016051655,0.0010038000182248652,0.003713133327740555,0.004031899996334687,0.004004533325011532,0.004154999973252416,0.0006127000087872148,0.00066230000811629,0.0011684000007032107,0.0011955999943893403,0.010488266678294167,0.010907300020335242,3,True,True
22,013_0013.png,13,Don't Go Right,13,Don't Go Right,True,0.0014918999998675038,0.0015226000105030835,0.005504833320931842,0.006047699978807941,0.004102900013094768,0.004213300009723753,0.0006198333285283297,0.0006388000037986785,0.0012516666708203654,0.0013799000007566065,0.01297113333324281,0.01365290000103414,3,True,True
23,021_0004.png,21,Go straight,21,Go straight,True,0.0018271666776854545,0.0018430000054650009,0.007838200001666943,0.00952829999732785,0.00461409999600922,0.0055235000036191195,0.0007571666598475227,0.0008619999862276018,0.0013624333369079977,0.0015361999976448715,0.01639906667211714,0.019292999990284443,3,True,True
24,022_0005.png,22,Go Left,22,Go Left,True,0.001976133333907152,0.002058499987469986,0.008254433332088714,0.009678699978394434,0.004217400002138068,0.005460200016386807,0.0007955000037327409,0.0010858000023290515,0.0013452333320553105,0.001495100004831329,0.016588700003921986,0.01966250000987202,3,True,True
25,027_0010.png,27,Roundabout mandatory,27,Roundabout mandatory,True,0.0014443333299520116,0.0014786999963689595,0.010778433332840601,0.01315210000029765,0.003935366665245965,0.005211899988353252,0.0006095333277092626,0.0006615000020246953,0.001254200004041195,0.00142680000863038,0.018021866659789037,0.019270799995865673,3,True,True
26,027_0012.png,27,Roundabout mandatory,27,Roundabout mandatory,True,0.001419733336661011,0.0016414000128861517,0.006481933329875271,0.007465999980922788,0.0055260000032528,0.005739300017012283,0.0008169666592342159,0.0008498999814037234,0.0015747000094658385,0.0019966000108979642,0.015819333338489134,0.016844900004798546,3,True,True
27,028_0202.png,28,watch out for cars,28,watch out for cars,True,0.0016432333310755591,0.0020001000084448606,0.009365433332277462,0.009513900004094467,0.005633566664376606,0.005959900008747354,0.000826333329314366,0.0008627999923191965,0.0013455333343396585,0.0015921999874990433,0.018814099991383653,0.019328199996380135,3,True,True
28,037_0019.png,37,Watch for Children crossing,37,Watch for Children crossing,True,0.0019215999927837402,0.0020253999973647296,0.009422633340970302,0.009680299990577623,0.005522833331876124,0.005898100003832951,0.0008204333328952392,0.0010244000004604459,0.0017367000012503315,0.00184760001138784,0.019424199999775738,0.01994229998672381,3,True,True
29,037_0021.png,37,Watch for Children crossing,37,Watch for Children crossing,True,0.001627500004057462,0.0018545000057201833,0.006908366660354659,0.007402499992167577,0.005253700005899494,0.005390800011809915,0.0008892666761918614,0.0010745000035967678,0.0013716666532369952,0.0016083999944385141,0.01605049999974047,0.016375300008803606,3,True,True
30,040_0011.png,40,Watch for down steep slope,40,Watch for down steep slope,True,0.0019393333447321008,0.0026706000207923353,0.014443033336040875,0.015001499996287748,0.005015633330913261,0.005466400005389005,0.0007927999928748856,0.0009671000007074326,0.001319233337805296,0.0014986000023782253,0.023510033342366416,0.025180900003761053,3,True,True
31,048_0004.png,48,Watch for Construction site,48,Watch for Construction site,True,0.0024525000092883906,0.002770899998722598,0.01862443333569293,0.022364300006302074,0.004770899996704732,0.005976199987344444,0.0006563999922946095,0.0006719999946653843,0.001097133334648485,0.001264999998966232,0.02760136666862915,0.03210500002023764,3,True,True
32,000_1_0002.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,0.0016978999968462933,0.002063699997961521,0.01256759999281106,0.013179999979911372,0.004166133333152781,0.004375399992568418,0.0005634000020412108,0.0006226999976206571,0.0010731333362249036,0.0011992999934591353,0.020068166661076248,0.020680899993749335,3,True,True
33,000_1_0013.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,0.0018419999978505075,0.0023523000127170235,0.010274133334557215,0.01179069999489002,0.003996133338660002,0.004228100006002933,0.0006007333383119354,0.0007150000019464642,0.001154066655241574,0.0012088000075891614,0.017867066664621234,0.020283599995309487,3,True,True
34,000_1_0018.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,0.0026981999981217086,0.0031577000045217574,0.015181333331080774,0.01728149998234585,0.004298000004685794,0.004456399998161942,0.0005616333316235492,0.0006036999984644353,0.0011335666737674426,0.001327400008449331,0.023872733339279268,0.026221000007353723,3,True,True
35,000_1_0034.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,0.000838199999028196,0.0009601999772712588,0.0036102333300126097,0.004044399975100532,0.0034796333347912878,0.003984500013757497,0.0006221333363403877,0.0007336999988183379,0.001096533330079789,0.0011470000026747584,0.00964673333025227,0.010761399986222386,3,True,True
36,001_1_0009.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,0.0018167666664036612,0.0019116000039502978,0.01175403333036229,0.01444859997718595,0.004572333331452683,0.005692200007615611,0.0007123333440783123,0.0008382000087294728,0.0012114666654573132,0.001430500007700175,0.02006693333775426,0.024321100005181506,3,True,True
37,002_1_0010.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,0.0009774333254123728,0.001295800000661984,0.005482866671324397,0.0065531000145711005,0.004272633338890349,0.005549499997869134,0.0008395666664000601,0.0012258999922778457,0.0012340999965090305,0.0013435000146273524,0.012806599998536209,0.015967800020007417,3,True,True
38,003_1_0034.png,3,Speed limit fourty kilometers per hour,3,Speed limit fourty kilometers per hour,True,0.0010855333239305764,0.0011121999996248633,0.003672233346151188,0.004945699998643249,0.0043797333297940595,0.005377199995564297,0.0006272000027820468,0.0006972000119276345,0.0011523666714007657,0.0013196000072639436,0.010917066674058637,0.013431300001684576,3,True,True
39,004_1_0020.png,4,Speed limit fifty kilometers per hour,4,Speed limit fifty kilometers per hour,True,0.0010492333482640486,0.0012330000172369182,0.004804333322681487,0.0059815999993588775,0.004835566670711462,0.0055256999912671745,0.0007489999989047647,0.0008285999938379973,0.0012618333372908335,0.0013801000022795051,0.012699966677852595,0.014867200021399185,3,True,True
40,005_1_0027.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,0.00222343333492366,0.0026944000273942947,0.015952833336389933,0.01725490001263097,0.005073066655313596,0.005767299997387454,0.000659666674134011,0.0008272000122815371,0.0013261000082517664,0.001426200004061684,0.025235100009012967,0.027210000000195578,3,True,True
41,007_1_0006.png,7,Speed limit eighty kilometers per hour,7,Speed limit eighty kilometers per hour,True,0.0015684666771752138,0.0017736000008881092,0.012063266660940522,0.012303499999688938,0.0054428333435983705,0.00599020000663586,0.0006991999980527908,0.0007881000055931509,0.0014773333192958187,0.00184009998338297,0.021251099999062717,0.022549199988134205,3,True,True
42,012_1_0015.png,12,Don't Go Left or Right,12,Don't Go Left or Right,True,0.0015399666735902429,0.0016618000227026641,0.00751526666378292,0.007629199972143397,0.005020966666052118,0.005930399987846613,0.0007706333320432653,0.0010097000049427152,0.0013536333378093939,0.001495700009400025,0.01620046667327794,0.016993099998217076,3,True,True
43,014_1_0028.png,14,Don't overtake from Left,14,Don't overtake from Left,True,0.0015963333232017856,0.0017207999771926552,0.007791666663251817,0.008229700004449114,0.004857166670262814,0.005423700000392273,0.000911066677266111,0.0012054000108037144,0.0012476666597649455,0.0013147999998182058,0.016403899993747473,0.017390799999702722,3,True,True
44,015_1_0001.png,15,No U-turn,15,No U-turn,True,0.001774066671108206,0.001924200012581423,0.011321233342944955,0.013584500004071742,0.004524866662298639,0.005675099993823096,0.0006557999877259135,0.0007621999830007553,0.0011017666741584737,0.0012308000004850328,0.019377733338236187,0.02317679999396205,3,True,True
45,016_1_0014.png,16,No Car,16,No Car,True,0.0015755333297420293,0.0019139999931212515,0.009375533321872354,0.010499900003196672,0.0050118666743704425,0.005840800004079938,0.0007484333376244953,0.0011031999893020838,0.0012257666676305234,0.0013565999979618937,0.017937133331239846,0.019607099995482713,3,True,True
46,017_1_0017.png,17,No horn,17,No horn,True,0.001524699997389689,0.0015559000021312386,0.009955466676425809,0.011624900012975559,0.004059166657195116,0.0046421999868471175,0.000755400008832415,0.0012447000190149993,0.0012118999923889835,0.0013670999906025827,0.017506633332232013,0.020434800011571497,3,True,True
47,023_1_0003.png,23,Go Left or right,23,Go Left or right,True,0.0009909333214939882,0.0010161999962292612,0.005399166674275572,0.005953700019745156,0.00378106667388541,0.004500900016864762,0.0006283333350438625,0.0007126999844331294,0.0013408666709437966,0.001760699989972636,0.01214036667564263,0.012882300012279302,3,True,True
48,023_1_0004.png,23,Go Left or right,23,Go Left or right,True,0.0008912999959041675,0.001060100010363385,0.005199933337280527,0.0053604000131599605,0.003997599997092038,0.004247300006682053,0.0006301333293473969,0.0007367999933194369,0.0011264000107379009,0.001178800011985004,0.011845366670362031,0.012393100012559444,3,True,True
49,024_1_0016.png,24,Go Right,24,Go Right,True,0.0043854666776799904,0.004462900018552318,0.02571266665472649,0.02598419997957535,0.0044710666697937995,0.004756300011649728,0.0006459666765294969,0.0006950000242795795,0.0011113999935332686,0.0012373999925330281,0.03632656667226305,0.036712100001750514,3,True,True
50,024_1_0017.png,24,Go Right,24,Go Right,True,0.004138233343837783,0.0043100000184495,0.029046999998778727,0.036308799986727536,0.0046002999976432575,0.005278800002997741,0.0005559999844990671,0.0006010999786667526,0.0011192000141212095,0.0012784000136889517,0.03946073333888004,0.047626500017941,3,True,True
51,026_1_0016.png,26,keep Right,26,keep Right,True,0.001923299996027102,0.00242390000494197,0.009006733336718753,0.009893000009469688,0.004286666672366361,0.004603500012308359,0.0007286333420779556,0.0007986999989952892,0.001269799987009416,0.001438299979781732,0.01721513333419959,0.019115400005830452,3,True,True
52,028_1_0007.png,28,watch out for cars,28,watch out for cars,True,0.0024366666621062905,0.0026316000148653984,0.017252333336121712,0.017925000021932647,0.0047233666603763895,0.005577800009632483,0.0007836333340189109,0.0008482999983243644,0.0012819000015345712,0.0014998000115156174,0.026477899994157877,0.027612200006842613,3,True,True
53,030_1_0002.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,0.004061000004488354,0.004495300003327429,0.024775033331631374,0.026716799999121577,0.0058299333322793245,0.006230400002095848,0.0006789000084002813,0.0007520000217482448,0.0013932999960767727,0.0014639000000897795,0.036738166672876105,0.03936769999563694,3,True,True
54,030_1_0023.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,0.0013917333271820098,0.0017297999875154346,0.008204033326668045,0.00863929998013191,0.004895433337272455,0.005493900011060759,0.0008479000049798439,0.001060499984305352,0.001451199990697205,0.001662199996644631,0.016790299986799557,0.01777310000034049,3,True,True
55,032_1_0001_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,0.0028029333431428918,0.0031664000125601888,0.01454876665957272,0.015874400007305667,0.00457270000091133,0.005721800000173971,0.0007959666642515609,0.0008443999977316707,0.0013109666761010885,0.0013595000200439245,0.024031333343979593,0.026811600022483617,3,True,True
56,032_1_0002_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,0.0022578666685149074,0.002505799988284707,0.014346066668319205,0.017236000014236197,0.004363400007908543,0.004895799997029826,0.0006872666514633844,0.0007895999879110605,0.0013245000057698537,0.0014597999979741871,0.022979100001975894,0.026886999985435978,3,True,True
57,033_1_0001.png,33,Watch for Traffic signals,33,Watch for Traffic signals,True,0.0020517666707746685,0.0022773999953642488,0.008939133326445395,0.009241799998562783,0.005050566668311755,0.007266200002050027,0.0005834999901708215,0.0005859999801032245,0.0010562000000694145,0.0011304999934509397,0.017681166655772056,0.019938899989938363,3,True,True
58,034_1_0002.png,34,Danger Ahead,34,Danger Ahead,True,0.00130429999747624,0.0015481000009458512,0.005066366672205429,0.00568790000397712,0.003872699996766945,0.003964200004702434,0.0005879999953322113,0.000624299980700016,0.001218899997184053,0.0013341999729163945,0.012050266658964878,0.012870999984443188,3,True,True
59,034_1_0003_1_j.png,34,Danger Ahead,34,Danger Ahead,True,0.001739133324008435,0.0017612999945413321,0.007138733334916954,0.007391899998765439,0.0037424666710042707,0.003931799990823492,0.0006978333403822035,0.0009482000023126602,0.001226333328910793,0.0012506000057328492,0.014544499999222657,0.014738800004124641,3,True,True
60,035_1_0002.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,0.0014381333409498136,0.0015343000122811645,0.008401466659658277,0.008656499994685873,0.0034596000041346997,0.0037785999884363264,0.0005411333404481411,0.0005756000173278153,0.0010637999900306265,0.0011753999860957265,0.014904133335221559,0.015608499990776181,3,True,True
61,035_1_0003.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,0.001479033341941734,0.0015361999976448715,0.0052008333247310174,0.005333899985998869,0.004352333334585031,0.004789200000232086,0.0006190000082521389,0.0006742000114172697,0.0012179333231567095,0.0012885999749414623,0.01286913333266663,0.013542899978347123,3,True,True
62,035_1_0004.png,35,Watch for Zebra Crossing,35,Watch for Zebra Crossing,True,0.002198566663234184,0.002334699995117262,0.008352733343296373,0.009378300019307062,0.0045196666712096585,0.0056905999954324216,0.0006613666579748193,0.0007196999795269221,0.001354833337245509,0.0017995000234805048,0.017087166672960546,0.019922800012864172,3,True,True
63,037_1_0009.png,37,Watch for Children crossing,37,Watch for Children crossing,True,0.002179799989486734,0.0025458000018261373,0.012153866671724245,0.014014299988048151,0.004121000005397946,0.005478400009451434,0.0006251999875530601,0.0006895999831613153,0.0010081000024608027,0.0010984999826177955,0.020087966656622786,0.023734999995213002,3,True,True
64,043_1_0021.png,43,Go right or straight,43,Go right or straight,True,0.0027497333261029175,0.0028876999858766794,0.017817966669099405,0.02286420000018552,0.004400466675482069,0.0055939000158105046,0.0007805333201152583,0.0011709999816957861,0.0011193000051813822,0.0012141000188421458,0.026867999995981034,0.033590300008654594,3,True,True
65,045_1_0004.png,45,Near the village,45,Near the village,True,0.0017894333383689325,0.002031000010902062,0.010656600003130734,0.013571299990871921,0.004680500006846462,0.006428200023947284,0.0006559333220745126,0.0007277999829966575,0.0012654000020120293,0.001444099994841963,0.019047866672432672,0.02411040000151843,3,True,True
66,045_1_0009.png,45,Near the village,45,Near the village,True,0.0017105666726517181,0.001848500018240884,0.01237026667028355,0.013941499986685812,0.004885966666430856,0.0058988000091630965,0.000698866662181293,0.0009020999714266509,0.0012033333381017048,0.0012567000230774283,0.020869000009649124,0.023535700020147488,3,True,True
67,047_1_0003.png,47,Watch for Trains,47,Watch for Trains,True,0.0015336333211356152,0.0017728999955579638,0.006369766672529901,0.007841100014047697,0.003994733337700988,0.004222199990181252,0.0005974999900596837,0.0006661999796051532,0.001232466670141245,0.0015759000089019537,0.013728099991567433,0.015791699988767505,3,True,True
68,049_1_0010.png,49,Watch for consecutive turnings,49,Watch for consecutive turnings,True,0.0015078666716969262,0.0015487000055145472,0.006901066662976518,0.008217700000386685,0.004185666669703399,0.005562200007261708,0.0006491999956779182,0.0009267000132240355,0.0011657333234325051,0.0012003999727312475,0.014409533323487267,0.017455699999118224,3,True,True
69,050_1_0003.png,50,Watch for fences,50,Watch for fences,True,0.003250099999907737,0.003519999998388812,0.026928800002982218,0.03322209999896586,0.004478200008937468,0.005751400021836162,0.0006907666684128344,0.0008525000012014061,0.001282833341974765,0.0016202999977394938,0.036630700022215024,0.04496630001813173,3,True,True
70,055_1_0031.png,55,No entry,55,No entry,True,0.0021081666733759143,0.002444100013235584,0.010505199985345826,0.012264499993762001,0.0045605999960874515,0.005562299978919327,0.0006579333470047762,0.0007144000264815986,0.001337933324975893,0.0017783999792300165,0.01916983332678986,0.022763699991628528,3,True,True
71,056_1_0010.png,56,Slow down to yield,56,Slow down to yield,True,0.0029383000025215247,0.003024700010428205,0.017721300003662083,0.01778540000668727,0.004054666661735003,0.0041763999906834215,0.0005760333442594856,0.0008003000111784786,0.0009709999818975726,0.0010219999821856618,0.02626129999407567,0.02635010000085458,3,True,True
72,008_1_0008_1_j.png,8,Don't Go straight or left,8,Don't Go straight or left,True,0.0017809666557392727,0.0018395999795757234,0.006359166679127763,0.007280400022864342,0.004623566657149543,0.0056776999845169485,0.0007140666712075472,0.0008329999982379377,0.0012600000094001491,0.00132610002765432,0.014737766672624275,0.015138100017793477,3,True,True
73,023_1_0002_1_j.png,23,Go Left or right,23,Go Left or right,True,0.002053566655376926,0.0021166999940760434,0.011302300001261756,0.013273499993374571,0.004507433341738458,0.0057394000177737325,0.0006552666503315171,0.000769499980378896,0.0011968666804023087,0.001244000013684854,0.019715433329110965,0.02306109998608008,3,True,True
74,030_1_0018_1_j.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,0.0021543666759195426,0.002349600021261722,0.01164796666125767,0.012979599996469915,0.004685233337416624,0.005962299997918308,0.0006215999892447144,0.0006594999867957085,0.0012245000010201086,0.0013273000076878816,0.020333666664858658,0.023278300010133535,3,True,True
75,052_1_0008_1_j.png,52,Stop to yield,52,Stop to yield,True,0.002568066663419207,0.0026295999996364117,0.01599086665858825,0.01912019998417236,0.004707533332596843,0.005331099993782118,0.0007236333331093192,0.0009394999942742288,0.0014523666662474473,0.001591400010511279,0.025442466653961066,0.0292763999896124,3,True,True
76,010_1_0013.png,10,Don't Go straight,10,Don't Go straight,True,0.0017358000040985644,0.0019874999998137355,0.007442700007231906,0.008501900010742247,0.005051566656523694,0.005665200005751103,0.000882400005745391,0.0012453999952413142,0.0013356999940394114,0.0014429999864660203,0.01644816666763897,0.01823869999498129,3,True,True
77,011_1_0019.png,11,Don't Go Left,11,Don't Go Left,True,0.0033168333369152,0.0036198000016156584,0.01768939999359039,0.01935399998910725,0.004669933337330197,0.005871400004252791,0.0006806333355295161,0.0008221000025514513,0.0011746333329938352,0.0011943000135943294,0.02753143333635914,0.030440600006841123,3,True,True
78,023_1_0005.png,23,Go Left or right,23,Go Left or right,True,0.002251166666004186,0.0024341999960597605,0.0126000666738643,0.014778900018427521,0.004340099995412554,0.00597969998489134,0.0007171999992957959,0.0008125999884214252,0.0014194000007895131,0.0017462999967392534,0.02132793333536635,0.02565250001498498,3,True,True
79,028_1_0216.png,28,watch out for cars,28,watch out for cars,True,0.002880166663089767,0.0032374000002164394,0.01586423333113392,0.018590099993161857,0.004617633327143267,0.0056770999799482524,0.0006923333470088741,0.0008318000182043761,0.0012012999892855685,0.001362899987725541,0.025255666657661397,0.029699299979256466,3,True,True
80,029_1_0015.png,29,Horn,29,Horn,True,0.002262200005740548,0.0025498000031802803,0.010990500003875544,0.01111210000817664,0.003989400002562131,0.004353900003479794,0.0005979000028067579,0.0006199000054039061,0.0011901333249018837,0.0012987999944016337,0.019030133339886863,0.019934500014642254,3,True,True
81,031_1_0020.png,31,Uturn allowed,31,Uturn allowed,True,0.004978300004343812,0.005157400009920821,0.028273233328945935,0.02948399999877438,0.004517066670814529,0.004595100006554276,0.00058770000274914,0.0005930000043008476,0.001156833323572452,0.0012239999778103083,0.039513133330425866,0.0407728000136558,3,True,True
82,036_1_0014.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,0.002731866678611065,0.0029922000248916447,0.015847899999547128,0.016472799994517118,0.004266699999182795,0.004502700001467019,0.0006397999920106182,0.0006788999889977276,0.001232600004489844,0.0013183999981265515,0.02471886667384145,0.025316500017652288,3,True,True
83,036_1_0016.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,0.0016058666612176846,0.001891099993372336,0.00993843333950887,0.011398200003895909,0.004378933333403741,0.0048254000139422715,0.0007820666651241481,0.001068499987013638,0.0012867333328661819,0.0015109000087250024,0.017992033332120627,0.020694100006949157,3,True,True
84,036_1_0019.png,36,Watch for non-motor vehicle,36,Watch for non-motor vehicle,True,0.0011218000048150618,0.001327700010733679,0.004961199990551298,0.005519899976206943,0.005031400001219784,0.0057400999940000474,0.0006829666575261703,0.0008007999858818948,0.0012505333482598264,0.001336900022579357,0.01304790000237214,0.013926100014941767,3,True,True
